restaurant_id,restaurant_name,cuisine_type,city,locality,average_cost_for_two,rating,votes,delivery_time_min,discount_percent,menu_items_count,monthly_orders,review_count,distance_km,establishment_year,order_type
100063,The Coastal Cafe,Mediterranean,Lucknow,Gomti Nagar,960,3.3,35698,43,0,78,13593,9326,1.97,2000,Delivery
100064,Flavours of India,Mexican,Indore,Gomti Nagar,1332,3.3,30726,53,25,79,8249,17699,12.45,1995,Takeaway
100065,The Biryani House,Desserts,Pune,Salt Lake,1175,2.1,15012,88,50,15,12579,11019,20.57,1992,Dine-In
100066,Roti Republic,Street Food,Lucknow,Hitech City,1289,2.5,38370,70,30,33,7750,22808,10.33,2010,Takeaway
100067,Tandoor Palace,Cafe,Bangalore,Salt Lake,1836,4.1,18898,66,40,19,7501,2890,8.0,2010,Dine-In
100068,Chettinad Kitchen,Mughlai,Indore,Navrangpura,154,4.0,35569,74,25,23,3123,33981,9.17,2021,Takeaway
100069,Street Spice,Mediterranean,Mumbai,Whitefield,1243,3.6,18886,71,30,41,522,7846,17.8,2009,Takeaway
100070,Spice Garden,Street Food,Pune,Connaught Place,1070,5.0,7445,74,0,175,13683,1266,12.56,2008,Takeaway
100071,Dosa Delight,Continental,Pune,Vastrapur,2084,2.7,36137,33,25,58,9870,33313,18.71,1998,Dine-In
100072,Naan Stop,Mediterranean,Nagpur,Gachibowli,1542,4.8,33285,49,0,82,11945,19571,20.97,2021,Dine-In
100073,Street Spice,Street Food,Ahmedabad,Anna Nagar,1511,3.7,35624,63,30,92,14297,12368,24.52,2005,Takeaway
100074,Chai & Chaat,Italian,Indore,Gachibowli,328,3.0,31006,63,25,179,13032,26899,16.37,1999,Delivery
100075,The Biryani House,Chinese,Jaipur,Gomti Nagar,1509,4.6,28865,27,40,126,301,23678,3.78,1999,Dine-In
100076,Roti Republic,Mediterranean,Chennai,Salt Lake,1778,3.9,21542,83,25,91,10319,15994,21.84,1992,Takeaway
100077,Punjab Grill,Italian,Lucknow,Malad,1081,4.2,28450,27,0,123,2775,22746,7.63,1991,Dine-In
100078,Royal Feast,Mediterranean,Mumbai,Malad,1618,3.1,9550,46,40,115,9322,2955,4.42,1995,Takeaway
100079,Tamil Tadka,Mughlai,Surat,HSR Layout,2188,4.7,9389,44,30,173,4211,7534,6.53,1990,Delivery
100080,Andhra Meals,Continental,Lucknow,Civil Lines,797,2.2,22656,90,15,173,7001,22625,6.4,2009,Dine-In
100081,Chai & Chaat,Cafe,Ahmedabad,Indiranagar,1121,3.1,23534,88,15,189,4887,723,24.45,2015,Delivery
100082,Spice Garden,Seafood,Indore,Bandra,2184,4.5,18766,44,50,100,3638,6235,15.6,1998,Takeaway
100083,Tandoor Palace,Desserts,Lucknow,Bandra,1415,4.4,2196,89,20,197,2203,374,22.76,2010,Takeaway
100084,Kebab Corner,Chinese,Hyderabad,Juhu,2359,4.6,23986,82,40,79,13656,5396,6.57,2020,Delivery
100085,Idli Express,Cafe,Kolkata,Indiranagar,2068,4.9,9234,43,25,152,6042,1484,19.81,1990,Delivery
100086,The Thali Place,South Indian,Ahmedabad,Anna Nagar,1223,3.8,41857,62,0,182,3880,30903,0.82,2010,Takeaway
100087,Saffron Kitchen,Thai,Delhi,Hitech City,1387,3.9,7656,32,0,19,5036,4040,3.08,2005,Takeaway
100088,Curry Leaf,Mughlai,Ahmedabad,Anna Nagar,2362,3.3,48655,34,25,177,1672,32074,15.47,2007,Dine-In
100089,Dosa Delight,Fast Food,Hyderabad,Hitech City,1971,4.9,23778,27,20,149,14823,21134,9.1,2015,Delivery
100090,The Food Court,South Indian,Indore,Hitech City,525,4.0,42064,17,0,95,4040,8257,19.72,2003,Dine-In
100091,Goan Getaway,Mediterranean,Jaipur,Whitefield,1034,4.4,15279,57,0,162,96,4547,21.49,1999,Dine-In
100092,The Thali Place,Continental,Nagpur,Andheri,600,4.0,1699,31,0,101,12993,1619,6.1,2010,Dine-In
100093,Masala Zone,Continental,Mumbai,Juhu,1874,3.6,48877,23,30,124,12797,23731,12.93,1996,Delivery
100094,Mango Lassi,Italian,Surat,Bandra,2285,2.9,42171,18,0,132,13932,26325,10.77,1996,Delivery
100095,Dosa Delight,Desserts,Ahmedabad,Connaught Place,480,3.0,9731,23,0,80,10278,9595,13.8,2010,Delivery
100096,Flavours of India,Street Food,Chennai,Hitech City,2220,3.8,6509,29,40,194,14230,1766,10.87,2004,Delivery
100097,Royal Feast,Cafe,Ahmedabad,Adyar,1853,4.2,20493,69,20,180,4226,12270,23.85,2020,Dine-In
100098,Punjab Grill,Cafe,Delhi,Connaught Place,1918,2.3,48427,62,0,152,1032,38439,23.92,2011,Takeaway
100099,Tandoor Palace,Mughlai,Kolkata,Gachibowli,360,4.9,39358,54,20,36,9518,33258,5.48,2020,Dine-In
100100,Tamil Tadka,South Indian,Kolkata,Civil Lines,1655,2.3,18266,88,10,119,13897,18248,0.85,2007,Dine-In
100101,Masala Zone,Continental,Kanpur,Malad,1541,3.1,11898,33,50,178,6616,1145,3.72,1991,Dine-In
100102,Idli Express,Street Food,Hyderabad,Adyar,1869,3.4,10325,62,15,194,5364,9304,14.99,1993,Dine-In
100103,Masala Zone,Mediterranean,Surat,Bandra,484,2.8,43390,69,30,165,7292,27148,6.97,2022,Dine-In
100104,Mumbai Bites,Mughlai,Delhi,Malad,2143,3.6,20222,20,10,111,9869,1800,0.39,2009,Dine-In
100105,Chettinad Kitchen,Chinese,Nagpur,Powai,1335,3.0,516,78,25,54,2166,394,13.41,2004,Takeaway
100106,The Thali Place,Cafe,Lucknow,Anna Nagar,445,3.2,48640,20,25,14,7582,5107,21.58,2017,Takeaway
100107,Chai & Chaat,Mexican,Lucknow,Gachibowli,1335,2.3,1376,56,0,168,7588,746,2.39,1996,Dine-In
100108,Kebab Corner,Seafood,Pune,Navrangpura,472,3.2,20344,58,10,95,12815,5514,2.09,1997,Takeaway
100109,Mango Lassi,Italian,Bhopal,Anna Nagar,1588,4.2,42309,33,10,36,2449,16780,5.09,1999,Takeaway
100110,Punjab Grill,Chinese,Nagpur,Vastrapur,2050,4.3,49809,89,30,184,14501,36999,16.15,2010,Takeaway
100111,Royal Feast,Chinese,Ahmedabad,Connaught Place,2070,3.3,19855,50,50,24,5816,16629,2.04,2019,Delivery
100112,The Biryani House,North Indian,Kolkata,Malad,464,3.9,5927,79,25,128,9558,4545,23.86,1992,Delivery
100113,Kerala Kitchen,Mediterranean,Surat,Whitefield,1466,3.8,32867,34,0,125,1745,22512,24.56,1995,Takeaway
100114,Pav Bhaji Hub,Chinese,Mumbai,HSR Layout,1943,5.0,34355,81,50,50,6012,24440,22.96,2014,Delivery
100115,Chettinad Kitchen,Fast Food,Lucknow,Hazratganj,364,4.4,42431,57,0,94,1598,36571,17.02,2008,Delivery
100116,Idli Express,Cafe,Lucknow,Hazratganj,765,3.0,38200,33,20,89,10798,25692,3.4,1995,Delivery
100117,The Thali Place,Mughlai,Lucknow,Salt Lake,673,4.0,48426,82,0,175,11034,27753,12.81,1991,Delivery
100118,Desi Dhaba,Chinese,Hyderabad,Salt Lake,2141,2.6,9025,34,0,85,13885,1662,12.79,2023,Dine-In
100119,South Indian Hut,Fast Food,Bhopal,Hazratganj,686,3.8,10119,35,0,187,12683,2717,18.09,1992,Delivery
100120,Mumbai Bites,Thai,Kanpur,HSR Layout,1969,3.8,49318,72,10,146,3968,20286,24.15,2020,Dine-In
100121,Mumbai Bites,Thai,Surat,Hitech City,2041,4.3,25036,79,40,117,2705,6548,20.07,1998,Delivery
100122,The Biryani House,Thai,Ahmedabad,Anna Nagar,2421,4.8,46632,81,0,82,1424,10511,6.97,2022,Dine-In
100123,Goan Getaway,Mughlai,Delhi,HSR Layout,1997,4.7,1757,68,0,111,8274,770,6.05,1995,Delivery
100124,Saffron Kitchen,North Indian,Kolkata,Indiranagar,1523,4.4,9027,19,15,130,11454,2278,19.02,2020,Delivery
100125,Flavours of India,North Indian,Bhopal,Connaught Place,227,2.8,9808,85,50,145,6984,1826,19.45,2005,Delivery
100126,Tandoor Palace,North Indian,Hyderabad,Gachibowli,2022,2.2,32766,83,0,171,8493,18848,6.2,1999,Delivery
100127,Kebab Corner,North Indian,Surat,Anna Nagar,1135,3.7,12285,25,40,102,1158,8623,13.69,2022,Takeaway
100128,Spice Garden,Mughlai,Indore,Vastrapur,328,3.9,24474,47,0,101,12969,2218,8.75,1996,Takeaway
100129,Idli Express,Mediterranean,Kolkata,Juhu,331,3.1,22197,37,30,188,7890,20705,4.72,1998,Dine-In
100130,Dosa Delight,Mediterranean,Ahmedabad,Bandra,1351,2.6,13082,20,20,89,8494,6529,24.73,2020,Delivery
100131,The Biryani House,Mediterranean,Lucknow,Whitefield,1321,3.1,3142,57,15,41,13146,1512,11.04,2015,Takeaway
100132,Street Spice,Desserts,Pune,Salt Lake,915,3.5,32615,62,40,78,13176,2712,18.23,1995,Delivery
100133,Flavours of India,Cafe,Bangalore,Civil Lines,1353,3.0,5257,56,15,88,7355,4941,18.0,2000,Takeaway
100134,Street Spice,Fast Food,Ahmedabad,Bandra,1594,3.8,28514,50,0,29,11046,20895,10.27,2022,Takeaway
100135,South Indian Hut,Chinese,Mumbai,Juhu,1944,2.1,4416,45,20,102,6322,270,15.21,2018,Delivery
100136,Mumbai Bites,Biryani,Nagpur,Connaught Place,2500,2.4,24058,65,20,176,4616,8184,24.02,1991,Takeaway
100137,Masala Zone,Biryani,Jaipur,Adyar,2450,2.4,17068,72,10,166,4728,16100,5.16,1998,Dine-In
100138,Street Spice,Chinese,Bhopal,Hitech City,509,4.4,20954,59,0,150,8932,9519,22.31,2000,Takeaway
100139,Dosa Delight,Desserts,Kanpur,Andheri,1630,3.5,7963,40,0,70,12999,4052,0.85,2013,Delivery
100140,The Coastal Cafe,Street Food,Bangalore,Hazratganj,503,2.2,26103,76,40,115,12651,13421,20.62,1994,Dine-In
100141,Royal Feast,Thai,Delhi,Hitech City,2058,4.0,22588,31,40,173,9680,5967,19.24,1998,Delivery
100142,Mango Lassi,Desserts,Indore,Bandra,658,3.6,19941,36,0,92,11671,7393,8.78,2023,Delivery
100143,Tamil Tadka,South Indian,Chennai,Whitefield,2406,2.8,40971,53,50,146,1580,32941,16.1,1999,Dine-In
100144,South Indian Hut,Seafood,Kanpur,Hazratganj,1532,4.5,36947,20,0,30,794,17349,16.35,2016,Takeaway
100145,Pav Bhaji Hub,North Indian,Ahmedabad,Civil Lines,1336,3.9,19808,76,10,185,6703,9751,11.45,1993,Dine-In
100146,Street Spice,Mughlai,Ahmedabad,Hitech City,985,3.0,9425,55,20,197,14152,5663,24.39,1998,Delivery
100147,Mango Lassi,Street Food,Delhi,Salt Lake,1140,3.4,17539,72,10,46,1636,1663,7.4,2014,Takeaway
100148,Kebab Corner,Italian,Indore,Andheri,1491,4.8,47269,55,10,50,8213,33738,11.78,2009,Delivery
100149,Spice Garden,South Indian,Pune,Navrangpura,2022,4.9,14109,89,20,22,878,4614,12.47,2020,Delivery
100150,The Thali Place,North Indian,Indore,Indiranagar,1915,2.4,17342,61,25,103,791,13131,1.47,2002,Delivery
100151,The Thali Place,Continental,Delhi,Adyar,2215,3.4,36045,50,50,184,10061,7791,3.39,1996,Delivery
100152,Mumbai Bites,Mediterranean,Kolkata,Civil Lines,1647,4.3,13055,80,25,138,709,747,1.17,2011,Delivery
100153,Mango Lassi,Biryani,Bangalore,Hazratganj,2261,2.4,40188,55,0,110,10150,19615,14.92,2022,Takeaway
100154,The Thali Place,Biryani,Kanpur,Gomti Nagar,1377,3.4,1100,62,20,182,1845,858,14.68,1991,Takeaway
100155,Roti Republic,Continental,Lucknow,Gomti Nagar,1082,4.2,38251,76,0,144,10355,24921,3.86,2005,Dine-In
100156,Zaiqa,Mexican,Delhi,Whitefield,227,3.3,27455,34,25,186,3390,13452,12.65,2020,Takeaway
100157,Idli Express,North Indian,Kanpur,Juhu,2274,2.6,21312,76,40,106,5190,5679,11.6,2011,Takeaway
100158,Mumbai Bites,Thai,Nagpur,Powai,2133,2.6,16165,50,40,86,3734,15430,24.33,2009,Delivery
100159,Dosa Delight,Italian,Kanpur,Vastrapur,1448,3.4,36742,50,15,41,9445,35603,9.62,2015,Delivery
100160,Chettinad Kitchen,Mediterranean,Bangalore,Malad,322,2.9,46811,25,20,123,10797,16811,18.73,2003,Dine-In
100161,Goan Getaway,Street Food,Chennai,Civil Lines,1262,2.4,40359,90,10,72,881,34807,5.8,2004,Dine-In
100162,Tandoor Palace,Mughlai,Kolkata,Vastrapur,561,4.0,9019,15,40,50,6716,7798,12.04,2002,Delivery
100163,Royal Feast,Continental,Lucknow,Bandra,516,4.0,15228,83,0,54,6896,14459,20.97,1992,Delivery
100164,The Coastal Cafe,Biryani,Bangalore,Malad,303,2.0,37231,28,20,82,7494,35610,13.2,1998,Takeaway
100165,Street Spice,Continental,Hyderabad,Indiranagar,1504,2.5,30085,47,0,13,12118,11051,19.81,2002,Dine-In
100166,Flavours of India,Cafe,Lucknow,Adyar,1901,3.5,5694,66,0,57,2353,3916,8.23,2005,Dine-In
100167,Naan Stop,Mughlai,Hyderabad,Hitech City,1243,4.9,19798,89,50,12,4335,11786,17.38,1993,Takeaway
100168,Tandoor Palace,Biryani,Chennai,Andheri,1810,4.1,46118,54,0,173,4883,24092,15.44,2004,Dine-In
100169,Roti Republic,Chinese,Ahmedabad,Hazratganj,1680,3.2,36004,75,40,180,13576,14318,19.09,1995,Takeaway
100170,Street Spice,Street Food,Kanpur,Anna Nagar,469,4.8,7363,22,40,139,3362,4696,13.51,2000,Delivery
100171,Tamil Tadka,Street Food,Ahmedabad,Indiranagar,991,4.2,32045,26,40,124,13299,1828,11.45,2022,Delivery
100172,Street Spice,Seafood,Mumbai,Civil Lines,2043,4.0,20206,17,25,75,13426,103,18.7,1994,Dine-In
100173,Kebab Corner,Fast Food,Kanpur,Connaught Place,2366,5.0,4533,75,0,83,6748,1479,19.27,2016,Delivery
100174,Andhra Meals,Mughlai,Ahmedabad,Adyar,1688,2.2,43381,84,0,177,14144,22796,3.14,2015,Takeaway
100175,Curry Leaf,Mexican,Hyderabad,Koramangala,243,4.9,30353,84,25,146,6264,26984,5.9,2019,Delivery
100176,Curry Leaf,Continental,Hyderabad,Indiranagar,281,4.4,27485,17,10,62,1152,3311,14.93,2018,Takeaway
100177,South Indian Hut,Mexican,Indore,Bandra,1152,4.2,26372,71,10,148,3609,24724,21.62,1993,Dine-In
100178,Mango Lassi,Continental,Hyderabad,Gomti Nagar,1456,3.7,44085,56,10,87,14406,9393,24.65,2023,Dine-In
100179,Kebab Corner,Continental,Chennai,Bandra,2430,4.8,48192,37,25,152,8170,3077,24.31,2014,Takeaway
100180,Royal Feast,Mexican,Pune,Gachibowli,761,2.9,12060,83,30,71,13965,3697,7.66,1999,Delivery
100181,Kerala Kitchen,North Indian,Jaipur,Gachibowli,1856,3.7,8797,64,10,75,3381,5416,16.24,2018,Delivery
100182,Punjab Grill,Street Food,Kanpur,Whitefield,361,2.8,44159,20,0,58,13233,38512,18.16,2003,Delivery
100183,The Food Court,Cafe,Bhopal,Salt Lake,1391,4.9,1014,42,10,199,1972,769,24.99,2020,Dine-In
100184,Dosa Delight,Seafood,Kanpur,Whitefield,1774,4.7,36191,56,15,107,7689,34978,16.29,2009,Delivery
100185,Mumbai Bites,Street Food,Bhopal,Vastrapur,2058,2.3,47354,75,20,62,6123,20512,10.47,2004,Takeaway
100186,Curry Leaf,North Indian,Chennai,Civil Lines,1860,2.9,12867,57,10,107,9385,4031,12.58,2011,Delivery
100187,Chettinad Kitchen,Cafe,Ahmedabad,Vastrapur,2037,2.5,23090,36,0,194,9004,16006,4.76,1993,Takeaway
100188,The Biryani House,Cafe,Indore,Connaught Place,348,4.3,27036,32,10,27,11636,4953,0.43,2022,Delivery
100189,Mumbai Bites,North Indian,Surat,Hazratganj,2129,4.0,1040,15,40,151,6789,29,0.61,2007,Takeaway
100190,Desi Dhaba,North Indian,Jaipur,Gachibowli,884,2.3,6322,82,0,71,3194,5082,13.26,2012,Delivery
100191,The Coastal Cafe,Mughlai,Delhi,Anna Nagar,1813,3.4,15948,43,15,185,13616,13896,2.2,1992,Dine-In
100192,Chai & Chaat,Mughlai,Pune,Civil Lines,2099,2.2,629,36,0,137,13899,449,16.19,2011,Takeaway
100193,Tamil Tadka,South Indian,Bhopal,Navrangpura,324,2.7,45379,87,30,79,812,4877,17.17,2007,Takeaway
100194,Zaiqa,Thai,Mumbai,Andheri,1438,2.0,13586,90,0,192,13499,6530,23.24,2009,Dine-In
100195,Zaiqa,Italian,Surat,Adyar,2364,3.0,49529,32,0,138,12263,22671,1.53,2017,Dine-In
100196,Goan Getaway,South Indian,Kolkata,Hazratganj,1774,4.9,21399,18,15,125,8088,7480,9.02,2014,Delivery
100197,Masala Zone,Thai,Surat,Adyar,501,4.3,19367,46,0,31,4440,5058,9.62,1999,Takeaway
100198,Chai & Chaat,Fast Food,Kolkata,Indiranagar,524,2.0,20212,71,20,79,1724,4346,2.36,2017,Delivery
100199,The Thali Place,Street Food,Jaipur,Gachibowli,573,2.1,23204,85,0,162,9848,10635,21.62,1990,Delivery
100200,Kebab Corner,Mughlai,Nagpur,Connaught Place,2441,4.7,15918,88,40,53,11278,6242,4.4,2007,Delivery
100201,Naan Stop,Biryani,Bangalore,Connaught Place,834,3.3,27607,53,30,29,5966,8252,23.62,2021,Takeaway
100202,Flavours of India,Italian,Ahmedabad,Indiranagar,704,2.9,25942,57,50,107,13223,10803,11.12,2017,Takeaway
100203,Flavours of India,Chinese,Chennai,Salt Lake,972,3.4,11651,65,20,84,12090,11391,15.9,2005,Delivery
100204,Chai & Chaat,Continental,Indore,Adyar,1645,2.3,36962,40,50,149,2997,36056,0.87,2019,Takeaway
100205,The Food Court,Biryani,Nagpur,Malad,433,4.5,26823,78,0,172,5011,7935,6.47,1999,Takeaway
100206,Kebab Corner,Mediterranean,Pune,Connaught Place,1989,5.0,31417,89,25,146,8350,30266,23.03,2016,Takeaway
100207,The Biryani House,Mediterranean,Kolkata,Civil Lines,498,2.3,16278,60,0,175,10088,730,14.17,2015,Delivery
100208,The Coastal Cafe,Mughlai,Delhi,Koramangala,553,2.8,33477,81,40,158,11316,14490,11.26,2015,Delivery
100209,Chettinad Kitchen,Thai,Surat,Navrangpura,767,3.0,1619,76,0,85,6865,180,3.08,1999,Delivery
100210,Desi Dhaba,Fast Food,Ahmedabad,Whitefield,2284,3.4,31215,27,30,194,11465,14830,8.11,2009,Dine-In
100211,The Coastal Cafe,Mexican,Delhi,Koramangala,1555,3.9,44387,36,10,142,2908,36174,4.17,2017,Delivery
100212,Saffron Kitchen,Mediterranean,Pune,Andheri,913,3.9,28330,65,0,198,10111,6470,11.35,2017,Delivery
100213,Spice Garden,Mexican,Hyderabad,Whitefield,1290,4.3,4110,88,0,147,3113,3001,8.28,2019,Dine-In
100214,Naan Stop,Thai,Indore,Vastrapur,2311,4.9,20549,64,50,110,9667,3748,8.83,2019,Takeaway
100215,Masala Zone,Cafe,Lucknow,Malad,497,4.0,20534,30,10,88,1966,6003,9.46,1999,Takeaway
100216,Chai & Chaat,Mughlai,Surat,Juhu,1721,3.3,31904,83,0,152,2783,16049,7.36,2001,Delivery
100217,Goan Getaway,Biryani,Surat,Bandra,1620,4.9,31769,32,10,108,9250,16567,16.4,2016,Takeaway
100218,Roti Republic,Mughlai,Kanpur,Hitech City,2151,2.5,37063,18,10,84,585,18017,5.78,2008,Dine-In
100219,Chettinad Kitchen,Biryani,Surat,Vastrapur,2401,3.5,37543,29,15,149,13538,24047,13.64,1992,Takeaway
100220,Street Spice,Street Food,Hyderabad,Gachibowli,569,4.2,42849,46,15,18,7418,17228,8.84,1995,Delivery
100221,Tamil Tadka,South Indian,Nagpur,HSR Layout,1009,4.4,38540,59,50,171,7065,10882,15.48,2003,Dine-In
100222,The Coastal Cafe,North Indian,Surat,Anna Nagar,2330,2.8,35318,36,20,190,4844,18966,14.4,2022,Takeaway
